Month,Avg. Surface Temperature,Avg. Uncertainty,Country
May,10.985,1.410,Switzerland
June,14.418,1.408,Switzerland
July,16.393,1.427,Switzerland
August,15.834,1.412,Switzerland
September,12.474,1.347,Switzerland
October,7.376,1.468,Switzerland
November,2.327,1.653,Switzerland
December,-1.276,1.820,Switzerland
January,6.065,1.102,Syria
February,8.020,1.051,Syria
March,11.912,1.007,Syria
April,16.609,0.988,Syria
May,22.046,0.951,Syria
June,26.448,0.966,Syria
July,29.009,0.965,Syria
August,28.835,0.948,Syria
September,25.280,0.883,Syria
October,19.853,0.983,Syria
November,13.203,1.027,Syria
December,7.768,1.117,Syria
January,16.115,0.747,Taiwan
February,16.271,0.772,Taiwan
March,18.157,0.697,Taiwan
April,21.033,0.674,Taiwan
May,23.964,0.613,Taiwan
June,25.892,0.613,Taiwan
July,27.182,0.625,Taiwan
August,26.925,0.621,Taiwan
September,25.817,0.573,Taiwan
October,23.448,0.598,Taiwan
November,20.781,0.639,Taiwan
December,17.725,0.698,Taiwan
January,-10.634,1.219,Tajikistan
February,-7.940,1.183,Tajikistan
March,-1.650,1.067,Tajikistan
April,4.990,0.975,Tajikistan
May,10.148,0.922,Tajikistan
June,14.587,0.953,Tajikistan
July,17.085,1.001,Tajikistan
August,15.904,1.007,Tajikistan
September,11.096,0.944,Tajikistan
October,4.466,0.942,Tajikistan
November,-2.017,0.999,Tajikistan
December,-7.935,1.150,Tajikistan
January,23.013,0.536,Tanzania
February,23.087,0.502,Tanzania
March,23.085,0.457,Tanzania
April,22.433,0.456,Tanzania
May,21.747,0.418,Tanzania
June,20.690,0.449,Tanzania
July,20.295,0.421,Tanzania
August,21.104,0.430,Tanzania
September,22.479,0.428,Tanzania
October,23.411,0.429,Tanzania
November,23.688,0.476,Tanzania
December,23.153,0.513,Tanzania
January,22.827,0.823,Thailand
February,24.705,0.785,Thailand
March,26.999,0.755,Thailand
April,28.321,0.741,Thailand
May,28.211,0.629,Thailand
June,27.612,0.643,Thailand
July,27.136,0.635,Thailand
August,26.855,0.620,Thailand
September,26.460,0.581,Thailand
October,25.696,0.637,Thailand
November,24.348,0.718,Thailand
December,22.562,0.758,Thailand
January,26.568,0.650,Timor Leste
February,26.355,0.630,Timor Leste
March,26.419,0.614,Timor Leste
April,26.255,0.630,Timor Leste
May,25.965,0.631,Timor Leste
June,25.169,0.628,Timor Leste
July,24.549,0.661,Timor Leste
August,24.502,0.616,Timor Leste
September,25.251,0.631,Timor Leste
October,26.364,0.650,Timor Leste
November,27.242,0.631,Timor Leste
December,26.980,0.634,Timor Leste
January,26.829,0.640,Togo
February,28.457,0.603,Togo
March,29.256,0.604,Togo
April,28.576,0.583,Togo
May,27.578,0.536,Togo
June,26.186,0.536,Togo
July,25.261,0.511,Togo
August,24.934,0.532,Togo
September,25.473,0.489,Togo
October,26.237,0.513,Togo
November,26.995,0.558,Togo
December,26.622,0.615,Togo
January,25.228,0.643,Tonga
February,25.765,0.658,Tonga
March,25.618,0.614,Tonga
April,24.456,0.612,Tonga
May,23.054,0.612,Tonga
June,21.976,0.649,Tonga
July,21.156,0.622,Tonga
August,20.905,0.585,Tonga
September,21.176,0.650,Tonga
October,21.934,0.625,Tonga
November,23.265,0.659,Tonga
December,24.350,0.626,Tonga
January,25.014,0.704,Trinidad And Tobago
February,25.211,0.666,Trinidad And Tobago
March,25.862,0.602,Trinidad And Tobago
April,26.478,0.616,Trinidad And Tobago
May,26.984,0.593,Trinidad And Tobago
June,26.467,0.514,Trinidad And Tobago
July,26.325,0.537,Trinidad And Tobago
August,26.448,0.529,Trinidad And Tobago
September,26.634,0.548,Trinidad And Tobago
October,26.413,0.504,Trinidad And Tobago
November,26.187,0.585,Trinidad And Tobago
December,25.407,0.692,Trinidad And Tobago
January,10.315,1.781,Tunisia
February,12.129,1.651,Tunisia
March,15.032,1.457,Tunisia
April,18.358,1.464,Tunisia
May,22.754,1.382,Tunisia
June,27.107,1.386,Tunisia
July,29.731,1.416,Tunisia
August,29.486,1.355,Tunisia
September,26.327,1.310,Tunisia
October,21.232,1.423,Tunisia
November,15.819,1.520,Tunisia
December,11.339,1.608,Tunisia
January,0.342,1.430,Turkey
February,1.632,1.388,Turkey
March,5.354,1.231,Turkey
April,10.038,1.191,Turkey
May,15.051,1.140,Turkey
June,19.397,1.160,Turkey
July,22.603,1.171,Turkey
August,22.669,1.149,Turkey
September,18.622,1.131,Turkey
October,13.306,1.202,Turkey
November,7.772,1.235,Turkey
December,2.702,1.388,Turkey
January,-0.039,1.229,Turkmenistan
February,2.500,1.138,Turkmenistan
March,8.097,1.107,Turkmenistan
April,15.294,1.077,Turkmenistan
May,22.188,1.028,Turkmenistan
June,27.213,1.055,Turkmenistan
July,29.664,1.073,Turkmenistan
August,27.692,1.079,Turkmenistan
September,21.707,1.007,Turkmenistan
October,14.079,0.985,Turkmenistan
November,7.215,1.098,Turkmenistan
December,1.878,1.169,Turkmenistan
January,24.261,0.924,Turks And Caicas Islands
February,24.465,0.903,Turks And Caicas Islands
March,24.884,0.799,Turks And Caicas Islands
April,25.554,0.793,Turks And Caicas Islands
May,26.991,0.730,Turks And Caicas Islands
June,28.410,0.743,Turks And Caicas Islands
July,29.085,0.723,Turks And Caicas Islands
August,29.085,0.688,Turks And Caicas Islands
September,28.670,0.681,Turks And Caicas Islands
October,27.599,0.729,Turks And Caicas Islands
November,26.212,0.845,Turks And Caicas Islands
December,24.730,0.972,Turks And Caicas Islands
January,23.617,0.669,Uganda
February,24.138,0.680,Uganda
March,24.147,0.653,Uganda
April,23.369,0.605,Uganda
May,22.984,0.585,Uganda
June,22.515,0.578,Uganda
July,22.101,0.556,Uganda
August,22.259,0.573,Uganda
September,22.646,0.580,Uganda
October,22.755,0.570,Uganda
November,22.871,0.603,Uganda
December,22.961,0.626,Uganda
January,-5.502,1.822,Ukraine
February,-4.372,1.707,Ukraine
March,0.369,1.552,Ukraine
April,7.835,1.517,Ukraine
May,14.548,1.394,Ukraine
June,18.341,1.398,Ukraine
July,20.272,1.429,Ukraine
August,19.354,1.396,Ukraine
September,14.249,1.372,Ukraine
October,7.828,1.460,Ukraine
November,2.033,1.540,Ukraine
December,-3.003,1.738,Ukraine
January,18.470,0.849,United Arab Emirates
February,19.985,0.788,United Arab Emirates
March,23.536,0.797,United Arab Emirates
April,27.591,0.774,United Arab Emirates
May,31.929,0.800,United Arab Emirates
June,34.518,0.837,United Arab Emirates
July,35.746,0.877,United Arab Emirates
August,35.223,0.838,United Arab Emirates
September,32.867,0.779,United Arab Emirates
October,28.829,0.755,United Arab Emirates
November,24.099,0.795,United Arab Emirates
December,19.922,0.846,United Arab Emirates
January,3.211,1.957,United Kingdom (Europe)
February,3.832,1.810,United Kingdom (Europe)
March,5.045,1.547,United Kingdom (Europe)
April,7.185,1.528,United Kingdom (Europe)
May,10.331,1.398,United Kingdom (Europe)
June,13.265,1.430,United Kingdom (Europe)
July,14.951,1.422,United Kingdom (Europe)
August,14.672,1.417,United Kingdom (Europe)
September,12.528,1.317,United Kingdom (Europe)
October,9.080,1.437,United Kingdom (Europe)
November,5.894,1.608,United Kingdom (Europe)
December,3.940,1.743,United Kingdom (Europe)
January,3.566,1.944,United Kingdom
February,4.180,1.800,United Kingdom
March,5.245,1.551,United Kingdom
April,7.146,1.532,United Kingdom
May,9.995,1.407,United Kingdom
June,12.669,1.436,United Kingdom
July,14.223,1.431,United Kingdom
August,13.968,1.427,United Kingdom
September,11.993,1.338,United Kingdom
October,8.822,1.449,United Kingdom
November,5.943,1.605,United Kingdom
December,4.178,1.734,United Kingdom
January,-3.862,1.072,United States
February,-1.879,0.971,United States
March,2.363,0.882,United States
April,7.995,0.776,United States
May,13.793,0.749,United States
June,18.747,0.738,United States
July,21.385,0.699,United States
August,20.356,0.710,United States
September,15.906,0.667,United States
October,9.183,0.785,United States
November,2.438,0.894,United States
December,-2.613,1.024,United States
January,23.529,0.873,Uruguay
February,23.025,0.816,Uruguay
March,21.117,0.819,Uruguay
April,17.265,0.799,Uruguay
May,14.048,0.750,Uruguay
June,11.489,0.811,Uruguay
July,11.168,0.773,Uruguay
August,12.273,0.778,Uruguay
September,14.019,0.745,Uruguay
October,16.432,0.763,Uruguay
November,19.468,0.799,Uruguay
December,21.976,0.881,Uruguay
January,-3.545,1.278,Uzbekistan
February,-1.127,1.199,Uzbekistan
March,5.230,1.188,Uzbekistan
April,13.448,1.093,Uzbekistan
May,20.518,1.029,Uzbekistan
June,25.586,1.066,Uzbekistan
July,27.879,1.095,Uzbekistan
August,25.654,1.065,Uzbekistan
September,19.306,1.019,Uzbekistan
October,11.399,1.008,Uzbekistan
November,4.381,1.113,Uzbekistan
December,-1.256,1.222,Uzbekistan
January,24.503,0.656,Venezuela
February,25.056,0.649,Venezuela
March,25.648,0.595,Venezuela
April,25.651,0.606,Venezuela
May,25.431,0.609,Venezuela
June,24.745,0.554,Venezuela
July,24.570,0.548,Venezuela
August,24.813,0.528,Venezuela
September,25.124,0.532,Venezuela
October,25.103,0.521,Venezuela
November,25.110,0.571,Venezuela
December,24.542,0.661,Venezuela
January,19.031,0.730,Vietnam
February,19.953,0.735,Vietnam
March,22.164,0.676,Vietnam
April,24.678,0.658,Vietnam
May,26.545,0.586,Vietnam
June,27.118,0.581,Vietnam
July,27.013,0.569,Vietnam
August,26.585,0.560,Vietnam
September,25.637,0.528,Vietnam
October,23.936,0.561,Vietnam
November,21.894,0.598,Vietnam
December,19.658,0.665,Vietnam
January,24.588,0.683,Virgin Islands
February,24.562,0.636,Virgin Islands
March,24.918,0.579,Virgin Islands
April,25.490,0.592,Virgin Islands
May,26.609,0.575,Virgin Islands
June,27.484,0.546,Virgin Islands
July,27.877,0.547,Virgin Islands
August,27.961,0.521,Virgin Islands
September,27.707,0.520,Virgin Islands
October,27.180,0.512,Virgin Islands
November,26.455,0.591,Virgin Islands
December,25.231,0.685,Virgin Islands
January,16.387,1.195,Western Sahara
February,18.132,1.206,Western Sahara
March,20.290,1.195,Western Sahara
April,21.493,1.126,Western Sahara
May,23.093,1.172,Western Sahara
June,25.501,1.163,Western Sahara
July,27.578,1.159,Western Sahara
August,28.062,1.147,Western Sahara
September,26.653,1.057,Western Sahara
October,23.712,1.103,Western Sahara
November,20.228,1.141,Western Sahara
December,16.841,1.198,Western Sahara
January,20.476,0.875,Yemen
February,22.272,0.850,Yemen
March,24.845,0.838,Yemen
April,27.253,0.809,Yemen
May,29.541,0.766,Yemen
June,30.925,0.815,Yemen
July,30.791,0.947,Yemen
August,30.027,0.986,Yemen
September,29.010,0.905,Yemen
October,26.014,0.855,Yemen
November,23.188,0.887,Yemen
December,20.752,0.895,Yemen
January,22.196,0.592,Zambia
February,22.323,0.600,Zambia
March,22.286,0.549,Zambia
April,21.333,0.548,Zambia
May,19.529,0.585,Zambia
June,17.383,0.589,Zambia
July,17.203,0.560,Zambia
August,19.511,0.553,Zambia
September,22.802,0.552,Zambia
October,24.483,0.545,Zambia
November,23.921,0.561,Zambia
December,22.499,0.585,Zambia
January,23.528,0.561,Zimbabwe
February,23.382,0.546,Zimbabwe
March,22.829,0.541,Zimbabwe
April,21.080,0.546,Zimbabwe
May,18.535,0.553,Zimbabwe
June,16.150,0.569,Zimbabwe
July,15.927,0.564,Zimbabwe
August,18.260,0.561,Zimbabwe
September,21.748,0.586,Zimbabwe
October,24.037,0.534,Zimbabwe
November,24.378,0.558,Zimbabwe
December,23.673,0.554,Zimbabwe
